name,kingdom
Klebsiella,Bacteria
Enterobacter,Bacteria
Acinetobacter,Bacteria
Candida,Fungi
Moraxella,Bacteria
Chryseobacterium,Bacteria
Pseudomonas,Bacteria
Pantoea,Bacteria
Roseomonas,Bacteria
Kocuria,Bacteria
Aeromonas,Bacteria
Malassezia,Fungi
Stenotrophomonas,Bacteria
Streptomyces,Bacteria
Cyberlindnera,Fungi
Escherichia,Bacteria
Paracoccus,Bacteria
Sphingomonas,Bacteria
Microbacterium,Bacteria
Actinomyces,Bacteria
Dermacoccus,Bacteria
Xanthomonas,Bacteria
Mycolicibacterium,Bacteria
Mycobacterium,Bacteria
Corynebacterium,Bacteria
Burkholderia,Bacteria
Dyella,Bacteria
Citrobacter,Bacteria
Pluralibacter,Bacteria
Brachybacterium,Bacteria
Rhizobium,Bacteria
Salmonella,Bacteria
Kluyvera,Bacteria
Lactobacillus,Bacteria
Sphingobium,Bacteria
Staphylococcus,Bacteria
Halomonas,Bacteria
Exophiala,Fungi
Cutibacterium,Bacteria
Weissella,Bacteria
Bradyrhizobium,Bacteria
Sphingobacterium,Bacteria
Brevibacterium,Bacteria
Clavispora,Fungi
Pseudoxanthomonas,Bacteria
Serratia,Bacteria
Lysobacter,Bacteria
Arthrobacter,Bacteria
Brevundimonas,Bacteria
Rhodobacter,Bacteria
Gordonia,Bacteria
Bacillus,Bacteria
Cupriavidus,Bacteria
Micrococcus,Bacteria
Achromobacter,Bacteria
Massilia,Bacteria
Haematobacter,Bacteria
Streptococcus,Bacteria
Leclercia,Bacteria
Paraburkholderia,Bacteria
Ochrobactrum,Bacteria
Vibrio,Bacteria
Agrobacterium,Bacteria
Empedobacter,Bacteria
Comamonas,Bacteria
Raoultella,Bacteria
Shewanella,Bacteria
Methylobacterium,Bacteria
Cronobacter,Bacteria
Leuconostoc,Bacteria
Acidipropionibacterium,Bacteria
Cloacibacterium,Bacteria
Baekduia,Bacteria
Rhodococcus,Bacteria
Nocardioides,Bacteria
Variovorax,Bacteria
Deinococcus,Bacteria
Novosphingobium,Bacteria
Mesorhizobium,Bacteria
Kushneria,Bacteria
Serinicoccus,Bacteria
Azorhizobium,Bacteria
Bordetella,Bacteria
Micromonospora,Bacteria
Pediococcus,Bacteria
Mixta,Bacteria
Azospirillum,Bacteria
Phytobacter,Bacteria
Pectobacterium,Bacteria
Macrococcus,Bacteria
Mycobacteroides,Bacteria
Kosakonia,Bacteria
Mameliella,Bacteria
Curtobacterium,Bacteria
Miniimonas,Bacteria
Janibacter,Bacteria
Luteimonas,Bacteria
Erwinia,Bacteria
Kiritimatiella,Bacteria
Acidovorax,Bacteria
Salinicola,Bacteria
Cellulomonas,Bacteria
Glutamicibacter,Bacteria
Pandoraea,Bacteria
Aspergillus,Fungi
Sphingopyxis,Bacteria
Nocardia,Bacteria
Pseudarthrobacter,Bacteria
Shigella,Bacteria
Elizabethkingia,Bacteria
Rothia,Bacteria
Propionibacterium,Bacteria
Dietzia,Bacteria
Clostridium,Bacteria
Clavibacter,Bacteria
Sinorhizobium,Bacteria
Lactococcus,Bacteria
Aquitalea,Bacteria
Kurthia,Bacteria
Herbaspirillum,Bacteria
Luteibacter,Bacteria
Lodderomyces,Fungi
Bosea,Bacteria
Psychrobacter,Bacteria
Paenibacillus,Bacteria
Caulobacter,Bacteria
Exiguobacterium,Bacteria
Flavobacterium,Bacteria
Xanthobacter,Bacteria
Azospira,Bacteria
Starkeya,Bacteria
Amycolatopsis,Bacteria
Ralstonia,Bacteria
Dickeya,Bacteria
Ancylobacter,Bacteria
Nakamurella,Bacteria
Rhodanobacter,Bacteria
Ensifer,Bacteria
Lelliottia,Bacteria
Rathayibacter,Bacteria
Enterococcus,Bacteria
Neorhizobium,Bacteria
Actinoplanes,Bacteria
Pseudonocardia,Bacteria
Stella,Bacteria
Aerococcus,Bacteria
Hylemonella,Bacteria
Neisseria,Bacteria
Ottowia,Bacteria
Actinomadura,Bacteria
Tessaracoccus,Bacteria
Agromyces,Bacteria
Rhodopseudomonas,Bacteria
Isoptericola,Bacteria
Ornithinimicrobium,Bacteria
Kytococcus,Bacteria
Celeribacter,Bacteria
Rahnella,Bacteria
Dokdonella,Bacteria
Methylorubrum,Bacteria
Geobacillus,Bacteria
Yangia,Bacteria
Sanguibacter,Bacteria
Thermomonas,Bacteria
Luteimicrobium,Bacteria
Hydrogenophaga,Bacteria
Fusarium,Fungi
Rhodovulum,Bacteria
Delftia,Bacteria
Polymorphum,Bacteria
Aeromicrobium,Bacteria
Citricoccus,Bacteria
Yersinia,Bacteria
Bifidobacterium,Bacteria
Prevotella,Bacteria
Sinomonas,Bacteria
Frankia,Bacteria
Arachidicoccus,Bacteria
Kitasatospora,Bacteria
Chromobacterium,Bacteria
Nocardiopsis,Bacteria
Leisingera,Bacteria
Azoarcus,Bacteria
Roseovarius,Bacteria
Pseudoalteromonas,Bacteria
Aquimarina,Bacteria
Tsukamurella,Bacteria
Anoxybacillus,Bacteria
Altererythrobacter,Bacteria
Janthinobacterium,Bacteria
Schaalia,Bacteria
Sulfitobacter,Bacteria
Leifsonia,Bacteria
Cellulosimicrobium,Bacteria
Metschnikowia,Fungi
Georgenia,Bacteria
Brenneria,Bacteria
Stappia,Bacteria
Nesterenkonia,Bacteria
Defluviimonas,Bacteria
